1	8	37	12	15	48	
2	4	23	12	31	45	
3	4	14	24	29	21	
4	6	27	25	33	33	
5	2	32	10	11	40	
6	6	50	12	37	47	
7	1	37	33	41	43	
8	4	31	39	30	26	
9	1	28	28	42	38	
10	10	38	17	46	11	
11	2	38	18	15	42	
12	5	47	15	49	39	
13	9	30	31	34	33	
14	5	19	49	41	14	
15	7	31	19	14	23	
16	8	47	46	44	19	
17	3	40	10	33	45	
18	6	18	31	14	30	
19	2	46	44	26	36	
20	5	49	47	15	18	
21	8	13	44	34	42	
22	7	39	22	21	29	
23	3	45	27	40	30	
24	3	37	23	45	34	
25	5	27	42	38	20	
26	3	34	16	32	21	
27	3	15	50	47	30	
28	4	34	47	19	27	
29	4	50	31	47	47	
30	2	14	19	19	47	
31	1	30	48	35	45	
32	4	38	18	22	20	
33	3	24	29	42	47	
34	3	44	26	25	50	
35	10	18	16	49	29	
36	5	47	19	47	38	
37	2	31	29	14	50	
38	6	42	20	48	39	
39	7	37	38	22	36	
40	10	14	36	50	38	
41	9	23	31	35	10	
42	8	32	16	40	34	
43	8	13	43	49	48	
44	9	18	25	30	29	
45	1	38	49	36	40	
46	10	16	40	11	37	
47	8	21	47	11	13	
48	3	20	25	39	34	
49	5	10	11	40	40	
50	3	30	38	45	50	
51	5	11	40	37	42	
52	3	33	39	37	46	
53	7	30	34	27	46	
54	7	39	40	44	34	
55	10	38	35	29	47	
56	3	45	23	15	30	
57	7	21	27	17	50	
58	3	39	28	40	40	
59	8	32	18	22	38	
60	8	23	26	11	48	
61	7	26	50	49	36	
62	10	49	27	31	10	
63	5	22	31	30	28	
64	8	24	23	40	13	
65	2	48	38	12	30	
66	4	21	40	28	50	
67	1	22	40	38	40	
68	9	32	14	28	49	
69	10	21	28	16	12	
70	1	37	20	13	11	
71	10	24	27	50	24	
72	4	37	15	27	11	
73	9	25	33	34	44	
74	2	24	24	44	47	
75	2	48	26	17	16	
76	9	43	18	20	47	
77	3	49	41	48	16	
78	2	14	35	34	26	
79	10	44	33	12	37	
80	1	20	32	35	11	
81	3	27	13	21	13	
82	9	19	41	25	30	
83	3	45	29	48	42	
84	2	27	21	46	31	
85	4	34	37	10	40	
86	5	22	24	17	46	
87	8	38	10	14	36	
88	7	24	17	14	18	
89	4	36	48	30	15	
90	5	19	49	10	14	
91	8	19	25	21	24	
92	9	40	45	22	29	
93	4	46	47	17	14	
94	6	34	40	22	49	
95	2	19	34	17	14	
96	7	44	36	14	49	
97	4	20	45	21	36	
98	3	33	24	11	37	
99	3	17	10	47	41	
100	4	49	31	28	11	
