1	2	23	48	25	35	
2	7	50	43	29	43	
3	5	10	47	10	41	
4	7	37	23	31	38	
5	4	15	21	39	22	
6	7	48	28	39	19	
7	9	33	28	10	44	
8	5	38	25	14	16	
9	7	49	37	40	15	
10	4	47	27	46	33	
11	1	43	44	50	11	
12	5	11	23	48	11	
13	3	19	32	23	20	
14	9	29	15	46	45	
15	7	20	41	34	14	
16	2	35	12	39	26	
17	1	11	23	36	28	
18	4	10	31	47	42	
19	6	20	20	17	27	
20	3	49	37	43	32	
21	8	18	39	34	31	
22	10	24	27	39	16	
23	4	12	31	16	46	
24	8	34	31	12	13	
25	6	39	15	33	18	
26	7	37	44	49	47	
27	7	48	37	24	13	
28	5	39	35	44	18	
29	4	41	46	45	39	
30	7	30	23	38	19	
31	1	34	20	29	17	
32	4	12	36	23	16	
33	8	15	47	19	45	
34	9	11	16	20	15	
35	1	38	15	36	43	
36	2	23	39	16	15	
37	5	45	48	41	18	
38	7	45	49	17	10	
39	1	21	18	33	46	
40	6	30	22	31	18	
41	2	38	14	46	31	
42	3	18	35	31	42	
43	2	10	35	46	38	
44	10	43	42	16	17	
45	10	10	36	25	19	
46	3	26	29	25	37	
47	2	50	31	42	13	
48	8	29	23	12	34	
49	1	14	30	30	11	
50	8	12	36	16	50	
51	4	41	28	14	10	
52	10	17	35	49	24	
53	6	13	12	24	47	
54	1	10	47	31	22	
55	9	21	14	37	41	
56	1	10	12	23	45	
57	6	13	42	11	31	
58	3	37	12	47	46	
59	6	34	25	23	12	
60	1	35	40	35	33	
61	10	50	30	28	38	
62	9	25	32	28	28	
63	4	31	14	25	47	
64	5	39	23	12	24	
65	8	19	24	39	15	
66	3	35	21	16	37	
67	1	46	44	12	26	
68	6	46	20	26	40	
69	6	11	16	34	30	
70	4	14	39	39	23	
71	7	36	14	48	29	
72	7	12	30	49	16	
73	8	34	39	34	43	
74	8	38	24	28	22	
75	10	49	19	14	37	
76	7	20	34	23	37	
77	9	36	15	46	25	
78	9	35	33	40	15	
79	8	46	50	13	29	
80	2	24	45	24	19	
81	3	39	41	43	12	
82	8	19	28	42	24	
83	2	45	13	19	49	
84	9	21	44	48	18	
85	6	38	35	19	16	
86	7	46	41	11	33	
87	4	38	36	13	46	
88	6	34	39	30	35	
89	9	49	49	47	13	
90	8	22	22	26	23	
91	10	42	10	37	47	
92	8	25	32	42	38	
93	9	10	39	34	38	
94	10	13	33	50	34	
95	2	10	41	25	41	
96	6	22	41	48	21	
97	6	44	12	27	14	
98	8	27	39	23	30	
99	4	22	42	32	34	
100	7	48	16	33	47	
